State,District,Block,Village,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,WQI,Water Quality Classification
Himachal Pradesh,KANGRA,Nurpur,BOD,8.6,795,60,232,57,70.92,58,290,56,36,48,20,0.3,262,170.32,Poor
Maharashtra,Ahmednagar,KARJAT,Bhitkewadi,7.78,706.8,40.37,231.9,60.3,45.6,68.4,240,50.1,27.9,57.6,0.7,0.47,468,195.39,Poor
Gujarat,Amreli,Dhari,Kerala,8.1,1369,40.37,500,206,36,23,120,28,12,286,0.68,0.41,917,374.44,Unsuitable for Drinking
Himachal Pradesh,Kangra,Indaura,Changara,8.4,255,24,110,14,70.92,4.1,110,12,19,21,1.3,0.18,262,81.25,Good
Maharashtra,Ahmednagar,KARJAT,Pategaon,7.63,1438,40.37,366.1,216.2,95.4,18.2,345,40.1,59.5,149.4,25.4,0.59,514,315.62,Unsuitable for Drinking
Gujarat,Amreli,Kundla- Savar,Charkhadia1,7.6,1152,40.37,622,50,35,17,50,16,2.4,262,2.9,2.25,772,322.81,Unsuitable for Drinking
Maharashtra,Ahmednagar,KARJAT,Kolwadi,7.97,2742,40.37,695.6,475,78.8,65,465,80.2,64.4,315.7,126.3,0.23,369,516.56,Unsuitable for Drinking
Gujarat,Amreli,Kundla- Savar,Bhuva,8.1,9343,40.37,805,2552,560,221,721,40,151,2008,81,0.84,6260,2469.88,Unsuitable for Drinking
Maharashtra,Ahmednagar,SANGAMNER,Tambhol,8.25,273.2,40.37,73.2,46.1,9,4.1,125,26.1,14.6,6,0.6,0.1,1380,243.57,Very Poor yet Drinkable
Gujarat,Amreli,Dhari,Dharangani,8,1687,40.37,293,347,64,135,490,96,61,188,0.86,0.29,1130,454.34,Unsuitable for Drinking
Himachal Pradesh,KANGRA,Indora,KOTLA,8.48,300,24,159,13,70.92,9.1,140,12,27,26,2,0.14,262,91.79,Good
Maharashtra,Ahmednagar,SHRIGONDA,Vadegaon Madhe,7.51,2068,40.37,207.5,354.5,299,60.1,740,102.2,117.9,109.9,0.9,0.26,272,381.48,Unsuitable for Drinking
Gujarat,Amreli,Khambha,Ingorala,8.2,676,40.37,342,35,30,16,270,60,29,47,0.52,0.31,453,187.82,Poor
Himachal Pradesh,Kangra,Indaura,Jagir,8.4,480,24,134,42,24,22,180,24,29,30,8,0.16,262,118.48,Poor
Maharashtra,Ahmednagar,PARNER,Takli-Dhogeswar-1,8.03,757.1,40.37,366.1,42.5,20.5,4.5,225,40.1,30.4,67.2,1.8,0.75,285,173.16,Poor
Gujarat,Amreli,Dhari,Virpur,7.3,1098,40.37,488,57,51,90,450,104,46,65,3.5,0.25,736,307.87,Unsuitable for Drinking
Maharashtra,Ahmednagar,NEVASA,Kokona-1,7.53,1965,40.37,299,301.3,159.6,195.3,760,146.3,96,89,0.9,0.39,425,399.32,Unsuitable for Drinking
Gujarat,Amreli,Jafrabad,Timbi2,8.2,2073,40.37,451,390,112,85,390,48,66,341,19,0.83,1389,558.06,Unsuitable for Drinking
Maharashtra,Ahmednagar,NAGAR,Chichondi Patil,7.77,1298,40.37,280.7,187.9,119.8,20,405,70.1,55.9,96.1,1.8,0.37,508,289.27,Very Poor yet Drinkable
Gujarat,Amreli,Jafrabad,Kadiyali,8.4,2680,24,342,674,27,8.9,450,132,29,363,12,1,1796,684.71,Unsuitable for Drinking
Maharashtra,Ahmednagar,NEVASA,Ghodegaon-1,8.18,838.8,40.37,305.1,60.3,74.6,7.2,225,40.1,30.4,85.6,0.8,0.44,614,233.26,Very Poor yet Drinkable
Gujarat,Amreli,Jafrabad,Jafrabad,8.2,3374,40.37,549,645,177,150,320,40,54,528,210,0.61,2261,898.55,Unsuitable for Drinking
Himachal Pradesh,MANDI,Sundernagar,JARL,8.45,396,43,116,35,70.92,8.7,168,42,15,21,2.3,0.14,262,101.96,Poor
Maharashtra,Ahmednagar,KOPARGAON,Loni-Pravara Nagar,7.83,1386,40.37,353.9,195,109,35.3,460,82.2,62,98.9,0.6,0.35,710,337.04,Unsuitable for Drinking
Gujarat,Amreli,Jafrabad,Lotpur,8.2,8755,40.37,256,2567,477,114,901,64,179.97,1698,6.1,0.27,5866,2256.34,Unsuitable for Drinking
Maharashtra,Ahmednagar,NAGAR,Khosepuri-1,7.88,992.1,40.37,451.5,60.3,44.7,16.1,330,56.1,46.2,74.8,2.6,0.63,582,257.49,Very Poor yet Drinkable
Gujarat,Amreli,Jafrabad,Bherai,8.4,3112,36,683,581,154,46,450,32,90,515,13,0.86,2085,820.93,Unsuitable for Drinking
Himachal Pradesh,MANDI,Bahl,Dinak,8.42,445,43,102,43,70.92,22,179,29,26,25,1.7,0.13,262,108.7,Poor
Maharashtra,Ahmednagar,JAMKHED,Jamkhed-1,7.56,1270,40.37,256.3,173.7,157.8,23,460,60.1,75.3,69.6,1.2,0.45,718,315.9,Unsuitable for Drinking
Gujarat,Amreli,Jafrabad,Nageshri,7.7,1390,40.37,476,156,107,49,370,72,46,164,7.5,0.27,931,381.02,Unsuitable for Drinking
Maharashtra,Ahmednagar,SHRIRAMPUR,Khokar,7.59,1785,40.37,244.1,315.5,200.2,58.4,640,132.3,75.3,102.3,3.1,0.25,571,380.64,Unsuitable for Drinking
Gujarat,Amreli,Khambha,Trakuda,7.5,452,40.37,171,50,26,0.76,150,36,15,44,1.5,0.27,303,122.82,Poor
Himachal Pradesh,HAMIRPUR,Nadaun,GALORE,8.46,350,57,87,21,70.92,6.9,168,51,10,10,6.1,0.13,262,92.71,Good
Maharashtra,Ahmednagar,SHRIRAMPUR,Taklibhan-1,7.84,619.6,40.37,238,42.5,36.1,23.5,235,48.1,27.9,35.2,0.5,0.13,245,143.68,Poor
Gujarat,Amreli,Khambha,Khamba,8.2,698,40.37,366,35,22,24,240,48,29,68,0.41,0.26,468,195.29,Poor
Maharashtra,Ahmednagar,NEVASA,Nevasa Bk,7.64,2248,40.37,414.9,312,160.1,200.1,750,132.3,102.1,170.5,3.2,0.31,1054,537.32,Unsuitable for Drinking
Gujarat,Amreli,Khambha,Vankiya1,8.2,1408,40.37,464,142,85,136,470,92,58,136,1.9,0.28,943,392.16,Unsuitable for Drinking
Himachal Pradesh,kullu,Kullu,kullu,8.53,470,29,175,35,70.92,48,177,63,8.4,36,12,0.12,262,123.5,Poor
Maharashtra,Ahmednagar,NEVASA,Bhanas Hivre,7.85,825.5,40.37,305.1,81.5,47.3,11.9,300,60.1,36.5,54.1,1,2.08,895,270.86,Very Poor yet Drinkable
Gujarat,Amreli,Kundla- Savar,Badhda,8.2,1275,40.37,244,177,100,124,430,52,73,101,0.79,0.21,854,344.43,Unsuitable for Drinking
Maharashtra,Ahmednagar,NEVASA,Shani Shingnapur,8.2,2779,40.37,805.5,205.6,390.6,20,215,40.1,27.9,542.9,7.4,0.72,795,599.44,Unsuitable for Drinking
Gujarat,Amreli,Kundla- Savar,Goradka,7.7,1324,40.37,183,234,97,135,530,104,66,86,0.64,0.23,887,357.47,Unsuitable for Drinking
Maharashtra,Ahmednagar,NAGAR,Karanji,7.9,821.5,40.37,280.7,67.4,42.2,65.4,290,46.1,42.5,58.9,0.9,0.83,444,209.33,Very Poor yet Drinkable
Gujarat,Amreli,Rajula,Mandal,7.9,1976,40.37,329,376,101,123,460,68,71,268,3.9,0.59,1324,526.46,Unsuitable for Drinking
Himachal Pradesh,SIRMOUR,Paonta Valley,Miserwala,8.55,492,71,131,28,70.92,10,242,63,20,13,2.4,0.1,262,114.68,Poor
Maharashtra,Ahmednagar,NAGAR,Jeur,8.1,1546,40.37,299,156,158.9,200.5,285,54.1,36.5,178.8,77.9,0.84,454,346.38,Unsuitable for Drinking
Gujarat,Amreli,Kundla- Savar,Piyava,8.2,1260,40.37,659,78,20,33,220,28,36,220,0.37,0.39,844,350.81,Unsuitable for Drinking
Himachal Pradesh,SIRMOUR,Paonta Valley,Sainwala II,8.36,481,29,102,43,70.92,51,189,21,33,24,1,0.18,262,116.59,Poor
Maharashtra,Ahmednagar,AKOLA,Kalsubai,7.49,355.5,40.37,140.3,24.8,16.6,14.8,150,40.1,12.2,11.4,1.3,0.16,337,111.11,Poor
Gujarat,Anand,Umreth,Parvata,8.3,1148,36,476,71,76,6.9,420,40,78,96,1.9,0.93,769,308.45,Unsuitable for Drinking
Maharashtra,Ahmednagar,AKOLA,Bhandardara,7.71,227.2,40.37,91.5,17.7,11.8,2.9,95,26.1,7.3,6.3,2.2,0.1,856,162.5,Poor
Gujarat,Anand,Borsad,Bhadran,7.9,635,40.37,342,35,20,0.33,270,64,27,32,1.3,0.28,425,175.1,Poor
Maharashtra,Ahmednagar,SHRIGONDA,Banpimpri,7.5,3248,40.37,518.7,506.9,395.2,79.8,700,104.2,106.9,401.9,62.8,0.77,469,617.53,Unsuitable for Drinking
Gujarat,Anand,Borsad,Ras,8.1,1442,40.37,659,149,25,16,160,28,22,284,8.5,4.5,966,396.92,Unsuitable for Drinking
Maharashtra,Ahmednagar,SHRIGONDA,Shrigonda,7.8,1933,40.37,506.5,280.1,152.4,20.5,750,180.4,72.9,96.2,5,0.4,1242,504.67,Unsuitable for Drinking
Gujarat,Anand,Cambay,Dali,8.2,3721,40.37,805,808,154,12,550,80,85,605,21,3.4,2493,982,Unsuitable for Drinking
Himachal Pradesh,SIRMOUR,Paonta sahib,SHIBPUR,8.45,284,14,102,7,70.92,90,147,38,13,16,1,0.12,262,96.56,Good
Maharashtra,Ahmednagar,KARJAT,Rassin,7.6,1186,40.37,311.2,138.3,125.6,13.8,385,52.1,62,81.6,21.8,0.3,483,270.48,Very Poor yet Drinkable
Gujarat,Anand,Cambay,Kansari,8.2,4565,40.37,744,1035,262,46,590,88,90,784,10,1.6,3059,1200.57,Unsuitable for Drinking
Maharashtra,Ahmednagar,NAGAR,Chas,7.91,980.2,40.37,366.1,102.8,42.4,16.4,315,64.1,37.7,80.1,7.5,0.46,840,289.92,Very Poor yet Drinkable
Gujarat,Anand,Petlad,Dharmaj,9.2,2488,180,573,262,154,79,210,12,44,498,0.13,2.2,1667,653.77,Unsuitable for Drinking
Maharashtra,Ahmednagar,KARJAT,Walvad,7.93,884.2,40.37,311.2,74.4,53.2,34.7,215,40.1,27.9,103.1,0.6,1.18,603,241.02,Very Poor yet Drinkable
Gujarat,Anand,Petlad,Bandhani,8.5,1834,36,903,106,38,28,130,8,27,408,0.56,2.3,1229,505.35,Unsuitable for Drinking
Himachal Pradesh,SIRMOUR,Paonta sahib,AJIWALA,8.46,492,57,116,28,70.92,25,158,34,18,19,42,0.13,262,116.37,Poor
Maharashtra,Ahmednagar,SHRIGONDA,Chikhale,7.32,5627,40.37,567.5,1219.5,390.3,200.3,2000,621.2,109.4,301,184.5,0.24,371,987.47,Unsuitable for Drinking
Gujarat,Aravalli,Bhiloda,Punasan,7.9,810,40.37,256,64,90,36,250,72,17,77,0.49,1.75,543,222.65,Very Poor yet Drinkable
Himachal Pradesh,SIRMOUR,Paonta sahib,KHODAWALA,8.38,488,57,160,21,70.92,4.5,252,25,46,7,1.3,0.1,262,113.49,Poor
Maharashtra,Ahmednagar,NAGAR,Takle-Kazi,7.5,1238,40.37,250.2,152.4,79.4,156.9,475,90.2,60.8,61.3,2.4,0.26,640,309.99,Unsuitable for Drinking
Gujarat,Aravalli,Bhiloda,Shamlaji,8,501,40.37,220,50,15,3,110,36,4.9,70,0.85,0.51,336,137.63,Poor
Maharashtra,Ahmednagar,KARJAT,Mirajgaon-3,7.59,1696,40.37,274.6,269.4,160.1,73.2,440,84.2,55.9,185.7,2.6,0.49,958,423.54,Unsuitable for Drinking
Gujarat,Aravalli,Modasa,Seenawad,7.4,1427,40.37,305,227,100,109,500,144,34,97,11.5,0.46,956,388.14,Unsuitable for Drinking
Himachal Pradesh,UNA,Amb,DAULATPUR,8.35,805,36,122,92,135,24,190,28,29,120,2.2,0.15,262,176.54,Poor
Maharashtra,Ahmednagar,SHRIGONDA,Ghogargaon-1,7.48,2046,40.37,360,382.9,158.1,10.2,515,80.2,76.5,232.2,8.5,0.57,572,419.45,Unsuitable for Drinking
Gujarat,Aravalli,Malpur,Hamirpur,7.5,1509,40.37,293,256,132,85,480,144,29,125,0.99,0.63,1011,407.84,Unsuitable for Drinking
Himachal Pradesh,UNA,Amb,AMB,8.7,490,60,183,21,70.92,0.6,170,12,34,48,7.5,0.22,262,116.77,Poor
Maharashtra,Ahmednagar,JAMKHED,Arangaon-3,7.85,1215,40.37,280.7,191.4,89.2,40.7,345,60.1,47.4,120.9,3.9,0.64,323,253.92,Very Poor yet Drinkable
Gujarat,Aravalli,Malpur,Malpur_1,7.6,807,40.37,280,64,11,106,350,76,39,26,0.42,0.72,541,223.17,Very Poor yet Drinkable
Maharashtra,Ahmednagar,KARJAT,Baradgaon Sudrik,7.82,1595,40.37,396.6,226.9,126.6,22.6,265,50.1,34,225.2,15.6,0.67,738,376.84,Unsuitable for Drinking
Gujarat,Aravalli,Bayad,Sathamba,7.9,918,40.37,366,43,90,18,330,56,46,58,1.6,0.74,615,249.25,Very Poor yet Drinkable
Maharashtra,Ahmednagar,KARJAT,Wadarwadi,7.53,1642,40.37,207.5,216.2,300.4,39.8,535,120.2,57.1,119.8,0.7,0.38,456,344.4,Unsuitable for Drinking
Gujarat,Aravalli,Bayad,Boral,7.7,3142,40.37,268,824,77,125,820,304,15,398,1.1,0.49,2105,821,Unsuitable for Drinking
Maharashtra,Ahmednagar,NAGAR,Khadki,8.07,620.2,40.37,140.3,63.8,68.3,49,235,40.1,32.8,38.3,1.4,0.39,336,157.38,Poor
Gujarat,Aravalli,Dhansura,Karanpur,7.8,682,40.37,122,99,90,38,220,56,19,60,0.4,0.72,457,185.69,Poor
Himachal Pradesh,UNA,Haroli,LALEHRI,8.5,472,36,183,28,70.92,18,180,28,27,40,2.7,0.23,262,117.77,Poor
Maharashtra,Ahmednagar,SHRIGONDA,Ghargaon,7.77,972.8,40.37,384.4,74.4,58.8,27.7,265,50.1,34,101.3,0.6,0.82,405,229.35,Very Poor yet Drinkable
Gujarat,Aravalli,Dhansura,Dhansura,7.8,1350,40.37,366,156,85,74,520,168,24,69,0.55,0.47,905,363.43,Unsuitable for Drinking
Himachal Pradesh,UNA,Una,UNA,8.4,790,24,134,106,88,23,190,20,34,102,1.5,0.23,262,170.29,Poor
Maharashtra,Ahmednagar,NAGAR,Hivrebazar,7.73,637.7,40.37,183.1,53.2,41.5,60.2,215,58.1,17,48.3,0.4,0.7,1008,257.88,Very Poor yet Drinkable
Gujarat,Banaskantha,Amirgadh,Amirgadh,7,3275,40.37,586,709,116,125,971,140,151,330,3.1,0.78,2194,861.47,Unsuitable for Drinking
Maharashtra,Ahmednagar,PARNER,Ralegaon Siddhi,7.97,1051,40.37,256.3,180.8,49,17.4,315,60.1,40.1,90.2,10.2,0.33,1089,332.32,Unsuitable for Drinking
Gujarat,Banaskantha,Tharad,Bharol1,7.1,825,40.37,378,78,17,5.3,300,76,27,40,52,0.64,553,226.12,Very Poor yet Drinkable
Maharashtra,Ahmednagar,AKOLA,Kotul,7.73,695.1,40.37,262.4,46.1,31.6,48.8,300,60.1,36.5,21.3,0.3,0.31,683,220.56,Very Poor yet Drinkable
Gujarat,Banaskantha,Dantiwada,Dantiwada,7,620,40.37,281,50,17,30,270,80,17,33,1.1,0.42,415,172.48,Poor
Maharashtra,Ahmednagar,NAGAR,Arangaon-1,7.94,664.5,40.37,195.3,85.1,42.3,10.6,205,26.1,34,53,2,0.37,606,199.29,Poor
Gujarat,Banaskantha,Data,Ganapipli,7.1,918,40.37,390,78,39,33,330,76,34,81,2,2.1,615,252.79,Very Poor yet Drinkable
Himachal Pradesh,UNA,Bangana,BAWAL,8.79,640,71,247,43,70.92,2.8,180,20,32,86,4,0.45,262,143.96,Poor
Maharashtra,Ahmednagar,KARJAT,Rehekuri,7.92,665.1,40.37,195.3,70.9,48.5,39.7,190,38.1,23.1,65.4,0.8,0.7,1052,267.78,Very Poor yet Drinkable
Gujarat,Banaskantha,Dantiwada,Gangodra,7.1,3494,40.37,671,709,144,0.96,861,204,85,335,19,3.5,2341,903.09,Unsuitable for Drinking
Maharashtra,Ahmednagar,SHEVGAON,Khamgaon,7.48,2921,40.37,854.3,329.7,78.7,80.2,1080,226.5,125.1,167.1,2.5,0.44,216,513.04,Unsuitable for Drinking
Gujarat,Banaskantha,Amirgadh,Iqbalgarh,7.4,810,40.37,329,57,23,54,330,76,34,45,1,0.58,543,222.27,Very Poor yet Drinkable
Himachal Pradesh,UNA,Amb,PANJAWAR,8.38,329,29,73,21,70.92,51,140,20,22,15,1.3,0.13,262,94.01,Good
Maharashtra,Ahmednagar,KOPARGAON,Kolpewadi-1,7.72,2092,40.37,488.2,358,85.4,57.1,570,40.1,114.2,218.7,1.7,0.27,548,426.39,Unsuitable for Drinking
Gujarat,Banaskantha,Dantiwada,Jhat,7.7,2000,40.37,476,355,137,0.24,180,28,27,375,4.2,1.6,1340,531.33,Unsuitable for Drinking
Maharashtra,Akola,Barshitakli,Pinjar,7.63,961.8,40.37,494.3,88.6,58.4,5.1,355,84.2,35.2,87.2,3,1.2,637,269.96,Very Poor yet Drinkable
Gujarat,Banaskantha,Tharad,Khoda,7.7,1575,40.37,573,177,107,22,130,20,19,320,13,1.9,1055,431.58,Unsuitable for Drinking
Himachal Pradesh,UNA,Amb,SINGHNEI,8.47,265,43,87,28,70.92,12,110,24,12,35,1.5,0.14,262,84.04,Good
Maharashtra,Akola,Balapur,Wyala,7.55,5119,40.37,622.4,872.1,552.3,304.4,1810,312.6,250.3,332.6,39.2,0.59,447,928.49,Unsuitable for Drinking
Gujarat,Banaskantha,Data,Mohabbat gadh,7.2,1488,40.37,305,262,68,73,480,156,22,110,3.6,1.3,997,395.84,Unsuitable for Drinking
Maharashtra,Akola,Patur,Chani,7.63,1134,40.37,524.8,102.8,47.8,76.7,485,84.2,66.8,66.2,1.8,0.73,386,266.25,Very Poor yet Drinkable
Gujarat,Banaskantha,Palanpur2,Palanpur2,7.5,1579,40.37,427,248,67,103,380,76,46,210,0.7,0.8,1058,430.11,Unsuitable for Drinking
Maharashtra,Akola,Patur,Sasti,7.61,1516,40.37,518.7,148.9,61.5,100.2,510,102.2,62,105.4,9.1,0.86,879,392.16,Unsuitable for Drinking
Andhra Pradesh,Visakhapatnam,GUDEM KOTHAVEEDI,Dharakonda,6.8,410,40.37,171,25,8,41,180,38,21,13,2,0.4,1181,243.64,Very Poor yet Drinkable
Gujarat,Banaskantha,Data,Ratanpur2,7.1,1480,40.37,268,233.97,93,155,560,188,22,95,2.5,0.39,992,404.04,Unsuitable for Drinking
Maharashtra,Akola,Balapur,Majhari,7.32,1057,40.37,439.3,85.1,35.4,101.4,390,100.2,34,69.8,5.9,0.72,159,218.64,Very Poor yet Drinkable
